entry,lemma,language,lex_cat_wikidata,des_by_source_P1343,form1_representation,form1_spelling_variant,sense1_gloss_de,sense1_gloss_en,sense1_gloss_es,sense1_gloss_it
https://qichwa.wikibase.cloud/entity/L1925,aymuray,Q5218,Q24905,Q125537856,aymuray,qu-x-Q7260479,ernten,to harvest,cosechar,raccogliere
https://qichwa.wikibase.cloud/entity/L1933,aynikutichiy,Q5218,Q24905,Q125537856,aynikutichiy,qu-x-Q7260479,erhaltene Hilfe erwidern,to return help,devolverle la ayuda recibida,resituire l'aiuto reciproco
https://qichwa.wikibase.cloud/entity/L1986,aysay,Q5218,Q24905,Q125537856,aysay,qu-x-Q7260479,in der Hand tragen,to carry with the hand,llevar en la mano,portare nella mano
https://qichwa.wikibase.cloud/entity/L2034,bawtisay,Q5218,Q24905,Q125537856,bawtisay,qu-x-Q7260479,taufen,to baptize,bautizar,battezzare
https://qichwa.wikibase.cloud/entity/L2052,bindirpariy,Q5218,Q24905,Q125537856,bindirpariy,qu-x-Q7260479,verkaufen,to sell,vender,vendere
https://qichwa.wikibase.cloud/entity/L2053,bindisiy,Q5218,Q24905,Q125537856,bindisiy,qu-x-Q7260479,segnen,to bless,bendecir,benedire
https://qichwa.wikibase.cloud/entity/L2055,bindiy,Q5218,Q24905,Q125537856,bindiy,qu-x-Q7260479,verkaufen,to sell,vender,vendere
https://qichwa.wikibase.cloud/entity/L2158,chakatarayay,Q5218,Q24905,Q125537856,chakatarayay,qu-x-Q7260479,gekreuzt werden,to be crucified,ser crucificado,essere crocifisso
https://qichwa.wikibase.cloud/entity/L2162,chakatay,Q5218,Q24905,Q125537856,chakatay,qu-x-Q7260479,kreuzigen,to crucify,crucificar,crocifiggere
https://qichwa.wikibase.cloud/entity/L2201,chaki tawqay,Q5218,Q24905,Q125537856,chaki tawqay,qu-x-Q7260479,seine Beine überkreuzen,to cross one's legs,cruzar sus piernas,incrociare le gambe
https://qichwa.wikibase.cloud/entity/L2215,chakmay,Q5218,Q24905,Q125537856,chaqmay,qu-x-Q7260479,dritteln,to divide into three,terciar,dividere in tre parti
https://qichwa.wikibase.cloud/entity/L2285,challchachiy,Q5218,Q24905,Q125537856,challchachiy,qu-x-Q7260479,brodelnd sieden,to boil rapidly,hervir a borbotones,bollire rapidamente; bollire a fiotti
https://qichwa.wikibase.cloud/entity/L2300,challwakuy,Q5218,Q24905,Q125537856,challwakuy,qu-x-Q7260479,fischen,to fish,pescar,pescare
https://qichwa.wikibase.cloud/entity/L2366,chaninchaywan churay,Q5218,Q24905,Q125537856,chaninchaywan churay,qu-x-Q7260479,verurteilen,to condemn,condenar,condannare
https://qichwa.wikibase.cloud/entity/L2403,chansakuy,Q5218,Q24905,Q125537856,chansakuy,qu-x-Q7260479,scherzen,to joke,chancear,scherzare
https://qichwa.wikibase.cloud/entity/L2433,chapchay,Q5218,Q24905,Q125537856,chapchay,qu-x-Q7260479,stechen,to sting,picotear,pungere
https://qichwa.wikibase.cloud/entity/L2485,chaqnachiy,Q5218,Q24905,Q125537856,chaqnachiy,qu-x-Q7260479,beladen lassen,to make load,hacer cargar,far caricare
https://qichwa.wikibase.cloud/entity/L2500,chaqrukipay,Q5218,Q24905,Q125537856,chaqrukipay,qu-x-Q7260479,untermischen,to mix in,entremezclar,miscelare
https://qichwa.wikibase.cloud/entity/L2514,chaquruy,Q5218,Q24905,Q125537856,chaquruy,qu-x-Q7260479,abstecken,to stake out,estacar,mettere sotto sorveglianza
https://qichwa.wikibase.cloud/entity/L2549,chaskikuy,Q5218,Q24905,Q125537856,chaskikuy,qu-x-Q7260479,verdienen,to deserve,merecer,meritare; meritarsi
https://qichwa.wikibase.cloud/entity/L2633,chawpinnay,Q5218,Q24905,Q125537856,chawpinnay,qu-x-Q7260479,vom Mittelpunkt abweichend machen,to make off-centre,descentrar,decentrare
https://qichwa.wikibase.cloud/entity/L2665,chawukriy,Q5218,Q24905,Q125537856,chawukriy,qu-x-Q7260479,ausschütteln (Decke),to shake (like a rug),sacudir (frazada),squotere
https://qichwa.wikibase.cloud/entity/L2853,chikichay,Q5218,Q24905,Q125537856,chikichay,qu-x-Q7260479,verteilen,to distribute,distribuir,distribuire
https://qichwa.wikibase.cloud/entity/L3665,chutukuy unkuta,Q5218,Q24905,Q125537856,chutukuy unkuta,qu-x-Q7260479,Hemd ausziehen,to put off a shirt,desnudar la camiseta,togliersi la camicetta
https://qichwa.wikibase.cloud/entity/L3680,chhalariy,Q5218,Q24905,Q125537856,chhalariy,qu-x-Q7260479,Tauschhandel treiben,to barter,trocar,barattare; scambiare
https://qichwa.wikibase.cloud/entity/L3687,chhallachiy,Q5218,Q24905,Q125537856,chhallachiy,qu-x-Q7260479,trocknen lassen,to make dry,hacer secar,far seccare
https://qichwa.wikibase.cloud/entity/L3733,chhika karuy,Q5218,Q24905,Q125537856,chhika karuy,qu-x-Q7260479,gleich weit entfernt sein,to be equidistant,equidistar,equidistare
https://qichwa.wikibase.cloud/entity/L3788,chhuqchuy,Q5218,Q24905,Q125537856,chhuqchuy,qu-x-Q7260479,ungesittet essen,to eat improperly,comer incultamente,mangiare impropriamente; mangiare maleducatamente
https://qichwa.wikibase.cloud/entity/L3803,chhusuchiy,Q5218,Q24905,Q125537856,chhusuchiy,qu-x-Q7260479,Luft ablassen lassen,to make deflate,hacer desinflar,fare sgonfiare
https://qichwa.wikibase.cloud/entity/L3887,ch'anchay,Q5218,Q24905,Q125537856,ch'anchay,qu-x-Q7260479,laut kauen,to chew noisily,masticar bulliciosamente,masticare rumorosamente
https://qichwa.wikibase.cloud/entity/L3897,ch'antuy,Q5218,Q24905,Q125537856,ch'antuy,qu-x-Q7260479,bewirken,to effect,efectuar,effettuare
https://qichwa.wikibase.cloud/entity/L3937,ch'ariwiy,Q5218,Q24905,Q125537856,ch'ariwiy,qu-x-Q7260479,mit einer Schlinge fangen,to ensnare,enlazar,allacciare
https://qichwa.wikibase.cloud/entity/L3967,ch'ataykuy,Q5218,Q24905,Q125537856,ch'ataykuy,qu-x-Q7260479,eine Tür verschließen,to lock a door,cerrar con llave una puerta,chiudere a chiave
https://qichwa.wikibase.cloud/entity/L4006,ch'ilqiy,Q5218,Q24905,Q125537856,ch'ilqiy,qu-x-Q7260479,zwischen den Fingern zerquetschen,to squash between the fingers,magullar entre los dedos,schiacciare tra le dita
https://qichwa.wikibase.cloud/entity/L4033,ch'illpuy,Q5218,Q24905,Q125537856,ch'illpuy,qu-x-Q7260479,"das Vieh markieren, indem man kleine Stückchen aus den Ohren schneidet",to mark the cattle cutting small pieces out of the ears,marcar el ganado cortando menudos trozos de la oreja,marchiare il bestiame; [marchiare tagliando le orecchie]
https://qichwa.wikibase.cloud/entity/L4052,ch'inyachiy,Q5218,Q24905,Q125537856,ch'inyachiy,qu-x-Q7260479,zum Schweigen bringen,to silence,hacer callar,fare tranquillizzare; fare stare zitto; fare zittire; far fare silezio
https://qichwa.wikibase.cloud/entity/L4063,ch'ipachiy,Q5218,Q24905,Q125537856,ch'ipachiy,qu-x-Q7260479,verpacken lassen,to make pack,hacer embalar,fare imballare
https://qichwa.wikibase.cloud/entity/L4175,ch'ultichiy,Q5218,Q24905,Q125537856,ch'ultichiy,qu-x-Q7260479,jemanden etwas untertauchen lassen,to make someone plunge something,hacer zambullir,fare tuffare qualcosa da parte di qualcuno
https://qichwa.wikibase.cloud/entity/L4196,ch'ullayachiy,Q5218,Q24905,Q125537856,ch'ullayachiy,qu-x-Q7260479,ungleich machen,to make unequal,desigualar,diversificare; rendere diverso
https://qichwa.wikibase.cloud/entity/L4199,ch'ullaychay,Q5218,Q24905,Q125537856,ch'ullaychay,qu-x-Q7260479,ungleich machen,to make unequal,desigualar,diversificare; diversificarsi; disaccoppiarsi
https://qichwa.wikibase.cloud/entity/L4233,ch'unkuykuy,Q5218,Q24905,Q125537856,ch'unkuykuy,qu-x-Q7260479,sich drängen,to crowd together,apretujar,affollare
https://qichwa.wikibase.cloud/entity/L4244,ch'uñurpariy,Q5218,Q24905,Q125537856,ch'uñurpariy,qu-x-Q7260479,sich unterkühlen,to be exposed to the cold too much,traspasarse de frío,esporsi al freddo intenso
https://qichwa.wikibase.cloud/entity/L4267,ch'uquy,Q5218,Q24905,Q125537856,ch'uquy,qu-x-Q7260479,gierig und geräuschvoll herunterschlucken,to gulp,beber grandes tragos y con ruido,inghiottire; ingurgitare; bere; [bere a grandi sorsi e rumorosamente]
https://qichwa.wikibase.cloud/entity/L4273,ch'urkuy,Q5218,Q24905,Q125537856,ch'urkuy,qu-x-Q7260479,lösen,to resolve,resolver,risolvere
https://qichwa.wikibase.cloud/entity/L4285,ch'usaqchay,Q5218,Q24905,Q125537856,ch'usaqchay,qu-x-Q7260479,leeren,to empty,vaciar,vuotare
https://qichwa.wikibase.cloud/entity/L4319,ch'utiy,Q5218,Q24905,Q125537856,ch'utiy,qu-x-Q7260479,Spinnrocken von der gesponnenen Wolle entfernen,to remove the distaff from spun wool,despojar la lana hilada de la rueca,rimuovere lana dalla spola
https://qichwa.wikibase.cloud/entity/L4325,ch'utuy,Q5218,Q24905,Q125537856,ch'utuy,qu-x-Q7260479,nie ausgeschlafen sein,to be never quick-witted,jamás haber dormido bastante,non aver dormito abbastanza
https://qichwa.wikibase.cloud/entity/L1085,apaqachiy,Q5218,Q24905,Q125537856,apaqachiy,qu-x-Q7260479,heruntertragen lassen,to make carry down,hacer bajar,fare scendere
https://qichwa.wikibase.cloud/entity/L1086,apaqamuy,Q5218,Q24905,Q125537856,apaqamuy,qu-x-Q7260479,"gehen, um etwas herunterzutragen",to go to carry down,ir a bajar,andare a scendere
https://qichwa.wikibase.cloud/entity/L1087,apaqapuy,Q5218,Q24905,Q125537856,apaqapuy,qu-x-Q7260479,etwas für jemanden heruntertragen,to carry something down for someone,bajárselo,portare giù (qualcosa per qualcuno)
https://qichwa.wikibase.cloud/entity/L1088,apaqay,Q5218,Q24905,Q125537856,apaqay,qu-x-Q7260479,heruntertragen,to carry down,bajar,portare giù; scendere
https://qichwa.wikibase.cloud/entity/L1089,apaqaysiy,Q5218,Q24905,Q125537856,apaqaysiy,qu-x-Q7260479,helfen herunterzutragen,to help to carry down,ayudar a bajar,aiutare a scendere; aituare a portare giù
https://qichwa.wikibase.cloud/entity/L1097,aparquy,Q5218,Q24905,Q125537856,aparquy,qu-x-Q7260479,schnell tragen,to carry fast,llevar rápido,portare rapidamente
https://qichwa.wikibase.cloud/entity/L1109,apaysiy,Q5218,Q24905,Q125537856,apaysiy,qu-x-Q7260479,helfen zu tragen,to help to carry,ayudar a llevar,aiutare a portare
https://qichwa.wikibase.cloud/entity/L1124,aptapiy,Q5218,Q24905,Q125537856,aptapiy,qu-x-Q7260479,in eine Ecke stellen,to put into a corner,arrinconar,mettere all'angolo
https://qichwa.wikibase.cloud/entity/L1219,aqnuy,Q5218,Q24905,Q125537856,aqnuy,qu-x-Q7260479,teilweise zerkauen,to chew partially,masticar parcialmente,masticare parzialmente
https://qichwa.wikibase.cloud/entity/L1243,aqhachiy,Q5218,Q24905,Q125537856,aqhachiy,qu-x-Q7260479,beauftragen Chicha zu brauen,to order to brew chicha,mandar a elaborar chicha,ordinare di produrre la chicha
https://qichwa.wikibase.cloud/entity/L1337,arripintikuy,Q5218,Q24905,Q125537856,arripintikuy,qu-x-Q7260479,bereuen,to repent,arrepentirse,pentirsi
https://qichwa.wikibase.cloud/entity/L1356,arwi-arwiy,Q5218,Q24905,Q125537856,arwiarwiy,qu-x-Q7260479,kreuzen,to intercross,entrecruzar,incrociare
https://qichwa.wikibase.cloud/entity/L1448,aspikuy,Q5218,Q24905,Q125537856,hasp'ikuy,qu-x-Q7260479,anpflanzen,to cultivate,cultivar,coltivare
https://qichwa.wikibase.cloud/entity/L1453,astachiy,Q5218,Q24905,Q125537856,astachiy,qu-x-Q7260479,bringen lassen,to make someone bring something,hacer trasladar,far traslare; far muovere
https://qichwa.wikibase.cloud/entity/L1461,astapuy,Q5218,Q24905,Q125537856,astapuy,qu-x-Q7260479,jemandem etwas herbringen,to bring something for someone,trasladárselo,portare (qualcosa a qualcuno); trasferirlo da solo
https://qichwa.wikibase.cloud/entity/L1580,atindiy,Q5218,Q24905,Q125537856,atindiy,qu-x-Q7260479,beachten,to pay attention to,atender,prestare attenzione; stare attento
https://qichwa.wikibase.cloud/entity/L1586,atipachiy,Q5218,Q24905,Q125537856,atipachiy,qu-x-Q7260479,siegen lassen,to make win,hacer vencer,far vincere
https://qichwa.wikibase.cloud/entity/L1590,atipamuy,Q5218,Q24905,Q125537856,atipamuy,qu-x-Q7260479,"gehen, um zu siegen",to go to win,ir a vencer,andare a vincere
https://qichwa.wikibase.cloud/entity/L1607,atiray,Q5218,Q24905,Q125537856,atiray,qu-x-Q7260479,eine Sache von einer anderen wegnehmen,to take one thing from off another,quitar una cosa de la otra,togliere una cosa da un'altra
https://qichwa.wikibase.cloud/entity/L1659,awachiy,Q5218,Q24905,Q125537856,awachiy,qu-x-Q7260479,weben lassen,to make weave,hacer tejer en telar,far tessere
https://qichwa.wikibase.cloud/entity/L1674,awamuy,Q5218,Q24905,Q125537856,awamuy,qu-x-Q7260479,weben gehen,to go to weave,ir a tejer,andare a tessere
https://qichwa.wikibase.cloud/entity/L1684,awapuy,Q5218,Q24905,Q125537856,awapuy,qu-x-Q7260479,jemandem etwas weben,to weave for someone,tejérselo en telar,tesserlo per qualcuno
https://qichwa.wikibase.cloud/entity/L1688,awarayay,Q5218,Q24905,Q125537856,awarayay,qu-x-Q7260479,lange Zeit weben,to keep weaving long time,durar mucho tejendo,tessere per lungo tempo
https://qichwa.wikibase.cloud/entity/L1690,awariy,Q5218,Q24905,Q125537856,awariy,qu-x-Q7260479,anfangen zu weben,to start weaving,comenzar a tejer,cominciare a tessere
https://qichwa.wikibase.cloud/entity/L6206,inwidiay,Q5218,Q24905,Q125537856,inwidiay,qu-x-Q7260479,beneiden,to envy,envidiar,invidiare
https://qichwa.wikibase.cloud/entity/L6211,iñaka-iñakalla p'achallikuy,Q5218,Q24905,Q125537856,iñaka-iñakalla p'achallikuy,qu-x-Q7260479,feine Kleider anziehen (Frau),to put on elegant clothes (woman),vestirse galanamente la mujer muy pintada,vestirsi elegantemente; [riferito a persone femminili]
https://qichwa.wikibase.cloud/entity/L6216,iñichiy,Q5218,Q24905,Q125537856,iñichiy,qu-x-Q7260479,glauben machen,to make believe,hacer creer,credere
https://qichwa.wikibase.cloud/entity/L6260,iray,Q5218,Q24905,Q125537856,iray,qu-x-Q7260479,dreschen,to thresh,trillar,trebbiare
https://qichwa.wikibase.cloud/entity/L6279,irqita munay,Q5218,Q24905,Q125537856,irqita munay,qu-x-Q7260479,ein Kind streicheln,to caress a child,acariciar al niño,accarezzare un bambino
https://qichwa.wikibase.cloud/entity/L6353,iskaymit'achay,Q5218,Q24905,Q125537856,iskaymit'achay,qu-x-Q7260479,verdoppeln,to duplicate,duplicar,duplicare
https://qichwa.wikibase.cloud/entity/L6431,ispachiy,Q5218,Q24905,Q125537856,hisp'achiy,qu-x-Q7260479,urinieren lassen,to make urinate,hacer orinar,fare urinare
https://qichwa.wikibase.cloud/entity/L6502,istudiyay,Q5218,Q24905,Q125537856,istudiay,qu-x-Q7260479,studieren,to study,estudiar,studiare
https://qichwa.wikibase.cloud/entity/L6552,kachapuy,Q5218,Q24905,Q125537856,kachapuy,qu-x-Q7260479,für jemanden senden,to send for someone,mandárselo,mandare a qualcuno
https://qichwa.wikibase.cloud/entity/L6576,kachaykamuy,Q5218,Q24905,Q125537856,kachaykamuy,qu-x-Q7260479,kommen lassen,to make come,hacer venir,fare venire
https://qichwa.wikibase.cloud/entity/L6678,kallay,Q5218,Q24905,Q125537856,kallay,qu-x-Q7260479,reiben,to rub,rallar,grattare
https://qichwa.wikibase.cloud/entity/L6721,kallway,Q5218,Q24905,Q125537856,kallway,qu-x-Q7260479,Gewebe durch Schlagen mit dem Brett zusammendrücken,to press tissue together beating with a board (weaving),apretar a golpes el tejido,pressare il tessuto
https://qichwa.wikibase.cloud/entity/L6737,kamachipayay,Q5218,Q24905,Q125537856,kamachipayay,qu-x-Q7260479,"in übertriebener, übersteigerter Weise befehlen",to order in an exaggerated and excessive way,mandar con demasía o exceso sin orden,comandare con eccesso
https://qichwa.wikibase.cloud/entity/L6792,kamaychay,Q5218,Q24905,Q125537856,kamaychay,qu-x-Q7260479,eine Aufgabe zuteilen,to assign a task,asignar una tarea,assegnare un compito
https://qichwa.wikibase.cloud/entity/L4883,harwimuy,Q5218,Q24905,Q125537856,harwimuy,qu-x-Q7260479,"gehen, um etwas aufzuwärmen",to go to warm up,ir a retostar harina,andare a scaldare; andare a ritostare farina
https://qichwa.wikibase.cloud/entity/L4884,harwipuy,Q5218,Q24905,Q125537856,harwipuy,qu-x-Q7260479,etwas für jemanden aufwärmen,to warm up something for someone,retostárselo harina,tostare la farina per qualcuno; scaldare un cibo per qualcuno
https://qichwa.wikibase.cloud/entity/L4890,hasachay,Q5218,Q24905,Q125537856,hasachay,qu-x-Q7260479,erleichtern,to facilitate,facilitar,facilitare
https://qichwa.wikibase.cloud/entity/L5116,hawichiy,Q5218,Q24905,Q125537856,hawichiy,qu-x-Q7260479,salben lassen,to make someone anoint,hacer untar con algo,fare ungere con qualcosa
https://qichwa.wikibase.cloud/entity/L5120,hawipuy,Q5218,Q24905,Q125537856,hawipuy,qu-x-Q7260479,jemandem etwas beschmieren,to smear something for someone,untárselo,ungere per qualcuno
https://qichwa.wikibase.cloud/entity/L5212,hayuy,Q5218,Q24905,Q125537856,hayuy,qu-x-Q7260479,widersprechen,to contradict,contradecir,contraddire
https://qichwa.wikibase.cloud/entity/L5213,haywachiy,Q5218,Q24905,Q125537856,haywachiy,qu-x-Q7260479,anreichen lassen,to make reach,hacer alcanzar,fare raggiungere
https://qichwa.wikibase.cloud/entity/L5216,haywamuy,Q5218,Q24905,Q125537856,haywamuy,qu-x-Q7260479,"gehen, um etwas abzuliefern",to go to deliver,ir a entregar algo,andare a consegnare qualcosa
https://qichwa.wikibase.cloud/entity/L5250,hillpuy,Q5218,Q24905,Q125537856,hillpuy,qu-x-Q7260479,in Farblösung kochen,to boil in dye,cocer en tinta,cucire in tinta
https://qichwa.wikibase.cloud/entity/L5338,hiyupay,Q5218,Q24905,Q125537856,hiyupay,qu-x-Q7260479,verändern,to modify,modificar,modificare
https://qichwa.wikibase.cloud/entity/L5439,hukllakuy,Q5218,Q24905,Q125537856,hukllakuy,qu-x-Q7260479,sich anschließen,to join,juntar,unire; unificare
https://qichwa.wikibase.cloud/entity/L5498,hukpiy,Q5218,Q24905,Q125537856,hukpiy,qu-x-Q7260479,umranden,to marginate,marginar,emarginare
https://qichwa.wikibase.cloud/entity/L5541,hukyachay,Q5218,Q24905,Q125537856,hukyachay,qu-x-Q7260479,verändern,to modify,modificar,modificare
https://qichwa.wikibase.cloud/entity/L5581,hunaray,Q5218,Q24905,Q125537856,hunaray,qu-x-Q7260479,rückgängig machen,to undo,deshacer,disfare
https://qichwa.wikibase.cloud/entity/L5634,huñunachiy,Q5218,Q24905,Q125537856,huñunachiy,qu-x-Q7260479,verbinden,to unite (others),coligar,collegare
https://qichwa.wikibase.cloud/entity/L5664,huqarimpuy,Q5218,Q24905,Q125537856,uqharimpuy,qu-x-Q7260479,etwas für jemanden hochheben gehen,to go to raise something for someone else,ir a levantárselo,andare a sollevarlo per qualcuno
https://qichwa.wikibase.cloud/entity/L5665,huqarimuy,Q5218,Q24905,Q125537856,uqharimuy,qu-x-Q7260479,hochheben gehen,to go to raise,ir a levantar,andare a sollevare
https://qichwa.wikibase.cloud/entity/L5666,huqaripuy,Q5218,Q24905,Q125537856,uqharipuy,qu-x-Q7260479,etwas für jemanden hochheben,to raise something for someone else,levantárselo,sollevare per qualcuno
https://qichwa.wikibase.cloud/entity/L5689,huray,Q5218,Q24905,Q125537856,huray,qu-x-Q7260479,schwören (Eid),swear (oath),jurar (juramento),giurare
https://qichwa.wikibase.cloud/entity/L5695,hurquchiy,Q5218,Q24905,Q125537856,urqhuchiy,qu-x-Q7260479,herausziehen lassen,to make pull out,hacer sacar,far togliere
https://qichwa.wikibase.cloud/entity/L5702,hurqupuy,Q5218,Q24905,Q125537856,urqhupuy,qu-x-Q7260479,jemandem etwas Entferntes herausziehen,to pull out something distant for someone,sacárselo algo afuera,togliere qualcosa per qualcuno
https://qichwa.wikibase.cloud/entity/L5718,hutk'upuy,Q5218,Q24905,Q125537856,husk'upuy,qu-x-Q7260479,jemandem etwas durchbohren,to pierce something for someone,agujereárselo,bucare per qualcuno; trapanare per qualcuno
https://qichwa.wikibase.cloud/entity/L5736,huyay,Q5218,Q24905,Q125537856,huyay,qu-x-Q7260479,lösen,to resolve,resolver,risolvere
https://qichwa.wikibase.cloud/entity/L6098,inka-inkalla p'achallikuy,Q5218,Q24905,Q125537856,inka-inkalla p'achallikuy,qu-x-Q7260479,feine Kleider anziehen (Mann),to put on elegant clothes (man),vestirse galanamente el hombre,vestirsi bene; [riferito a persone di sesso maschile]
https://qichwa.wikibase.cloud/entity/L1805,awsay,Q5218,Q24905,Q125537856,phukllay,qu-x-Q7260479,spielen,to play,jugar; recrearse,giocare; divertirsi
https://qichwa.wikibase.cloud/entity/L1805,awsay,Q5218,Q24905,Q125537856,pukllay,qu-x-Q7260479,spielen,to play,jugar; recrearse,giocare; divertirsi
https://qichwa.wikibase.cloud/entity/L1815,ayachukuchiy,Q5218,Q24905,Q125537856,ayachukuchiy,qu-x-Q7260479,einbalsamieren,to embalm,embalsamar; embalsamar a un cadáver de cuclillas o sentado,imbalsamare; [imbalsamare un cadavere ponendolo accucciato o seduto]
https://qichwa.wikibase.cloud/entity/L1896,aylluchay,Q5218,Q24905,Q125537856,aylluchay,qu-x-Q7260479,einheiraten; sich verschwägern,to marry into a family,emparentar,imparentare
https://qichwa.wikibase.cloud/entity/L1919,aylluyachiy,Q5218,Q24905,Q125537856,aylluchay,qu-x-Q7260479,einheiraten; sich verschwägern,to marry into a family,emparentar,imparentare; sposare; maritare
https://qichwa.wikibase.cloud/entity/L1935,aynikuy,Q5218,Q24905,Q125537856,aynikuy,qu-x-Q7260479,borgen; leihen,to borrow,prestarse algo de alguien,prestare qualcosa a qualcuno
https://qichwa.wikibase.cloud/entity/L1938,ayni qupuy,Q5218,Q24905,Q125537856,ayni qupuy,qu-x-Q7260479,erhaltene Hilfe erwidern,to return help,devolverle la ayuda recibida; retribuir la ayuda; recompensar,restituire l'aiuto reciproco
